experiment_type,model_name,center,fold,train_size,val_size,source_center,target_center,source_size,target_size,accuracy,auc,sensitivity,specificity,precision,negative_predictive_value
single_center,KNN,Hungarian,2.0,196,98,Hungarian,Hungarian,196,98,0.8367346938775511,0.8788082437275984,0.7777777777777778,0.8709677419354839,0.7777777777777778,0.8709677419354839
single_center,PANDA_TabPFN_TCA,VA,0.0,133,67,VA,VA,133,67,0.7164179104477612,0.6941176470588235,0.96,0.0,0.7384615384615385,0.0
single_center,TabPFN_Only,VA,0.0,133,67,VA,VA,133,67,0.746268656716418,0.7458823529411764,1.0,0.0,0.746268656716418,0.0
single_center,LASSO_LR,VA,0.0,133,67,VA,VA,133,67,0.7164179104477612,0.7247058823529412,0.74,0.6470588235294118,0.8604651162790697,0.4583333333333333
single_center,Random_Forest,VA,0.0,133,67,VA,VA,133,67,0.8208955223880597,0.6670588235294117,0.96,0.4117647058823529,0.8275862068965517,0.7777777777777778
single_center,XGBoost,VA,0.0,133,67,VA,VA,133,67,0.8208955223880597,0.6317647058823529,0.96,0.4117647058823529,0.8275862068965517,0.7777777777777778
single_center,SVM,VA,0.0,133,67,VA,VA,133,67,0.7313432835820896,0.7564705882352941,0.84,0.4117647058823529,0.8076923076923077,0.4666666666666667
single_center,KNN,VA,0.0,133,67,VA,VA,133,67,0.7910447761194029,0.7141176470588235,0.94,0.35294117647058826,0.8103448275862069,0.6666666666666666
single_center,PANDA_TabPFN_TCA,VA,1.0,133,67,VA,VA,133,67,0.746268656716418,0.7576470588235293,1.0,0.0,0.746268656716418,0.0
single_center,TabPFN_Only,VA,1.0,133,67,VA,VA,133,67,0.746268656716418,0.6835294117647059,0.98,0.058823529411764705,0.7538461538461538,0.5
single_center,LASSO_LR,VA,1.0,133,67,VA,VA,133,67,0.7164179104477612,0.7294117647058823,0.74,0.6470588235294118,0.8604651162790697,0.4583333333333333
single_center,Random_Forest,VA,1.0,133,67,VA,VA,133,67,0.7761194029850746,0.7211764705882353,0.9,0.4117647058823529,0.8181818181818182,0.5833333333333334
single_center,XGBoost,VA,1.0,133,67,VA,VA,133,67,0.7910447761194029,0.6717647058823529,0.94,0.35294117647058826,0.8103448275862069,0.6666666666666666
single_center,SVM,VA,1.0,133,67,VA,VA,133,67,0.6865671641791045,0.7776470588235294,0.7,0.6470588235294118,0.8536585365853658,0.4230769230769231
single_center,KNN,VA,1.0,133,67,VA,VA,133,67,0.7910447761194029,0.7758823529411765,0.94,0.35294117647058826,0.8103448275862069,0.6666666666666666
single_center,PANDA_TabPFN_TCA,VA,2.0,134,66,VA,VA,134,66,0.696969696969697,0.6710684273709484,0.8775510204081632,0.17647058823529413,0.7543859649122807,0.3333333333333333
single_center,TabPFN_Only,VA,2.0,134,66,VA,VA,134,66,0.7424242424242424,0.7130852340936374,1.0,0.0,0.7424242424242424,0.0
single_center,LASSO_LR,VA,2.0,134,66,VA,VA,134,66,0.6363636363636364,0.715486194477791,0.6122448979591837,0.7058823529411765,0.8571428571428571,0.3870967741935484
single_center,Random_Forest,VA,2.0,134,66,VA,VA,134,66,0.7272727272727273,0.6818727490996398,0.8571428571428571,0.35294117647058826,0.7924528301886793,0.46153846153846156
single_center,XGBoost,VA,2.0,134,66,VA,VA,134,66,0.7727272727272727,0.723889555822329,0.9591836734693877,0.23529411764705882,0.7833333333333333,0.6666666666666666
single_center,SVM,VA,2.0,134,66,VA,VA,134,66,0.6666666666666666,0.6854741896758703,0.7346938775510204,0.47058823529411764,0.8,0.38095238095238093
single_center,KNN,VA,2.0,134,66,VA,VA,134,66,0.7121212121212122,0.7046818727490995,0.8367346938775511,0.35294117647058826,0.7884615384615384,0.42857142857142855
single_center,PANDA_TabPFN_TCA,Switzerland,0.0,82,41,Switzerland,Switzerland,82,41,0.9512195121951219,0.6025641025641026,1.0,0.0,0.9512195121951219,0.0
single_center,TabPFN_Only,Switzerland,0.0,82,41,Switzerland,Switzerland,82,41,0.9512195121951219,0.9358974358974359,1.0,0.0,0.9512195121951219,0.0
single_center,LASSO_LR,Switzerland,0.0,82,41,Switzerland,Switzerland,82,41,0.7073170731707317,0.5128205128205128,0.717948717948718,0.5,0.9655172413793104,0.08333333333333333
single_center,Random_Forest,Switzerland,0.0,82,41,Switzerland,Switzerland,82,41,0.9512195121951219,0.8461538461538463,1.0,0.0,0.9512195121951219,0.0
single_center,XGBoost,Switzerland,0.0,82,41,Switzerland,Switzerland,82,41,0.975609756097561,0.8461538461538461,1.0,0.5,0.975,1.0
single_center,SVM,Switzerland,0.0,82,41,Switzerland,Switzerland,82,41,0.8536585365853658,0.28205128205128205,0.8717948717948718,0.5,0.9714285714285714,0.16666666666666666
single_center,KNN,Switzerland,0.0,82,41,Switzerland,Switzerland,82,41,0.926829268292683,0.6153846153846154,0.9743589743589743,0.0,0.95,0.0
single_center,PANDA_TabPFN_TCA,Switzerland,1.0,82,41,Switzerland,Switzerland,82,41,0.926829268292683,0.5789473684210527,1.0,0.0,0.926829268292683,0.0
